Time;Latitude;Longitude;Course;kts;mph;metres;Rate;Reporting Facility
Sat 09:12:28 PM;43.3465;27.3191;↑ 349°;468;539;10973;Level;FlightAware ADS-B (JAM / LBIA)
Sat 09:12:58 PM;43.4117;27.3016;↑ 349°;468;539;10973;Level;FlightAware ADS-B (LBWB)
Sat 09:13:28 PM;43.4745;27.2846;↑ 349°;469;540;10973;Level;FlightAware ADS-B (BBU / LRBS)
Sat 09:13:58 PM;43.5384;27.2672;↑ 349°;468;539;10973;Level;FlightAware ADS-B (JAM / LBIA)
Sat 09:14:29 PM;43.6020;27.2495;↑ 349°;467;537;10973;Level;FlightAware ADS-B (BBU / LRBS)
Sat 09:14:59 PM;43.6666;27.2317;↑ 349°;467;537;10973;Level;FlightAware ADS-B (BBU / LRBS)
Sat 09:15:29 PM;43.7302;27.2142;↑ 349°;465;535;10973;Level;FlightAware ADS-B (BBU / LRBS)
Sat 09:15:59 PM;43.7922;27.1970;↑ 349°;464;534;10973;Level;FlightAware ADS-B (BBU / LRBS)
Sat 09:16:29 PM;43.8565;27.1793;↑ 349°;463;533;10973;Level;FlightAware ADS-B (BBU / LRBS)
Sat 09:16:59 PM;43.9200;27.1618;↑ 349°;462;532;10973;Level;FlightAware ADS-B (BBU / LRBS)
Sat 09:17:31 PM;43.9873;27.1432;↑ 349°;462;532;10973;Level;FlightAware ADS-B (LRBG)
Sat 09:18:15 PM;44.0761;27.1068;↑ 342°;454;522;10973;Level;FlightAware ADS-B (LRTZ)
Sat 09:18:54 PM;44.1555;27.0701;↑ 342°;454;522;10973;Level;FlightAware ADS-B (VAR / LBWN)
Sat 09:19:24 PM;44.2155;27.0424;↑ 342°;454;522;10973;Level;FlightAware ADS-B (LRTZ)
Sat 09:19:55 PM;44.2766;27.0142;↑ 342°;455;524;10973;Level;FlightAware ADS-B (KIV / LUKK)
Sat 09:20:25 PM;44.3361;26.9866;↑ 342°;456;525;10973;Level;FlightAware ADS-B (LRTZ)
Sat 09:20:55 PM;44.3965;26.9588;↑ 342°;457;526;10973;Level;FlightAware ADS-B (LRTZ)
Sat 09:21:25 PM;44.4566;26.9310;↑ 342°;458;527;10973;Level;FlightAware ADS-B (LRTZ)
Sat 09:21:55 PM;44.5180;26.9026;↑ 342°;459;528;10973;Level;FlightAware ADS-B (LRTZ)
Sat 09:22:25 PM;44.5772;26.8754;↑ 342°;461;531;10973;Level;FlightAware ADS-B (OTP / LROP)
Sat 09:22:55 PM;44.6376;26.8473;↑ 342°;462;532;10973;Level;FlightAware ADS-B (OTP / LROP)
